,preproc_txt,spam_num
3933,честн говор ахуел прост привык что мен город сначал прилетает піт включают сирен учен ил разминирован ил друг контролируемых взрывах предупреждают тако,1
3934,бабк окупант получал ничег,0
3935,вікіпеді зьявил стат про рашизм рашизм визнач російськ фашизм відзнач ідеолог рунтуєт іде старшинств братн народ стат доступн більш ніжит о мов,0
3936,мен друг смотрит шарик говорит что буч фейк,0
3937,нин навчан школ черк приєдн учен вимушен залишит дім,0
3938,зсу вперш успішн застосув британськ старстреак збит російськ літак луганщин новин,1
3939,вы никогд молн гром видел слышал,0
3940,бачит проблем знят,0
3941,росийск воены расказ о хід операц утр о апрел о год можн увидет работ реактивных систем залпов огн смерч авиаудар вкс рф уничтожен колон украинск арм виде мо рф,1
3942,порівн звільн первомайськ рф херсон,1
3943,військов час зрад,0
3944,могт спит,0
3945,балакл харківськ област міст зовс нахабніл мародер,0
3946,половин чорн мор замінован мін босфор приносит закінчит серфінгіст швидк,1
3947,он хуеют с что дом камены,0
3948,дополнен воены аэродр бок мозыр заходит со сторон украин три вертол ка,1
3949,держ дорог на геро,0
3950,южн част изюм изюмск приборостроительны завод гор кременец три недел эту територ слат ожесточ ные бо бойц о общевойсков арм име числен превосходств взят этот крайн удобны оборон район прич м с минимальным собственым потер,1
3951,шо прям знайт нов авт,0
3952,ком над нашел равн находят идиот кто выкладывает виде ютуб сраз посол взрывов,0
3953,горит сонц,0
3954,харківськ паблик обговорюв прилетіт пакет град бік де російськ військ,1
3955,украинск воены харьк занял любимым дел оборудов огневы точк школ даным ид смотр мене трех школ север город размещен украинск воены сил тероборон занял окол трех четырех школ расказал источник канал город перт этом друг харьковчанин подтвердил ид смотр что харьковск национальн университет внутрен дел юг город развернут пункт управлен войск как мы видіт украинск вояк меняют сво привычек наде что руско высокоточно оруж сумет доказ их неправот,1
3957,рашист с автомат бежит,1
3958,выстрел что похож пво,1
3959,запорож стреляют,0
3960,перед ки азовц йеп гранд чероке выполнен боевых задач продолж собир средств приобретен пикап банк монобанк _ помоч финансов приватбанк ч ч ч збз паыпал герелес,0
3961,гум каридор обстрілюв лікарн школ завадит церкв обстріл,1
3962,бляст,0
3963,киев задерж диверсант,0
3964,украинск войск покидают треугольник имеющ настояще врем информац очен мног украинск войск эти минут покидают называемы треугольник район рубежн северодонецк лисичанск буд говорит пок что как чтоб раскрыв тактическ обстановк ест очен больш надежд ест что как кремен он прост ушл дальш их ждет естествен мног сюрприз друг мест он этом знают поэт дум происходит расказал анонимност один из военослужащ находящ сейчас зон боевых действ рубежн,1
3965,миноборон рф произвел пуск межконтинентальн балистическ ракет стационарн базирован сармат принципиальн расширил спектр боев оснащен ракет как количеств боевых блок их тип включ планирующ гиперзвуковы сармат сам мощн ракет с наибольш мир дальност поражен цел заставит задум тех кто пыли обнажен агресивн риторик пытает угрож наш стран путин прокоментировал успешны запуск ракет путин телеграм,1
3966,магнітик,0
3967,киевщин два лесник подорв минут дво работник поех лесничеств чтоб загрузит вывезт лесопродукц лесн дорог он наткнут противотанков минут водител погиб втор мужчин госпитализирован хуевы ки предложит новост,0
3968,размер кольчужк,0
3969,город действуют мобильны груп нацист аз обучены подготовлены состав усиленых взвод зо чо человек действуют хаотичн,1
3970,танк идут харьк,1
3971,_мр одеколон_ одеколон сашк бут раніш бат ах,0
3972,працюв десантн штурм військ зс україн атлічн,1
3973,робот по жданівк єнакієв зараз,1
3974,мен ещ торент архамер,0
3975,мощн написал принцип как обычн,0
3976,оден позиц оборон аз маріупол,1
3978,клят моск детск сад разбомбил памагити руск школ детсад бимбят вот детк которы под завал піт находят ещ повторит сегодняшн украинц хуж цыган цыган хот как понят ест,1
3979,підар рот взят слов,1
3980,кто ви ответит эти вопрос,0
3981,волонтерськ організац слобожанщин допомог боєц підрозділ схід балаклійськ ізюмськ район друз потребув підтримк допомогт боєц надскладн дно передов ізюмськ район допомаг що зараз гривн могт допомогт допомогт інш бут ласк зателефонув о зб чб о хотіт підтрим фінансов рахунок чз о о о дякув слав україн,0
3982,батальйон бут зупинен оден танк оден гранатометник безприкладн похід перемог сподів дізн ім гер зі зведен міноборон,1
3983,аз нацик захопит заручник сказ,1
3984,аз вийт околиц міст воюв цирк влаштув маріупол мешканец маріупол,1
3985,может пво,1
3986,во первых где отб во вторых где тривог мят слышно взрывы даж дос,1
3987,хохол смотрет внимательн следующ полигон сармат ви,1
3988,тревог стат ещ больш возможн по с зо дат тольк ки действительн стат меньш тревог простых город прост оруж дошл стоит задум,1
3989,показ кадр цал оф дут сказ дивит робит україн зкушают,0
3990,вот м пиздюл орк,1
3991,мурашк тіл ситуац,0
3992,бут мінськ угод світ україн порушит знат каз країн довест війн кол наказ роздав бомбардув донбас ви похер бут звичайн мішок поверт,0
3993,догадк,0
3994,слав бог шо взрив,1
3995,таможн разд взрывы,1
3996,тряст харк,1
3998,откройт метеорадар над выдумыв чег нет,0
3999,где хот бахнул,1
4000,богдановн ты володьк приписывал шиз,0
4001,ретроградн крч кол град пад грат ретр музик,0
4002,цікав причин прийнят рішен,0
4003,прям зде находит гараж,0
4004,блят звук,0
4005,нов збро,1
4006,пок вжит побачит перекон обнадіюв хотіт сильн,0
4007,рос насаждают англосаксонск мир чтоб разорв рф куск,1
4008,межд тем руск т выдерживает попадан из шведск британск переносн птрк нлаw,1
4009,пар штурмовик су вкс росі летіт денацифікув позиц зсу авдіївц квітен о рок,1
4010,недавн нач форсит нескольк региональных сми новост что нептун нет пот что луч было гос заказ с о ог пот что порох их ещ чм год начал планомерн слив вот так же доказательн баз была когд указываеш сраз почем порохобот клеймят люб ошибк тыкаеш ніс сраз порохобот становиш очен интересн логик,0
4011,сусід ноут реферат,0
4012,шмігал офіційн підтвердит повідомлен про відм капітуляці українськ військов маріупол українськ арм зараз перебув маріупол відмовит капітуляці як раніш пропонув російськ сторон заявит українськ премьєр денис шмигал новин,0
4013,аеропорт вийт,0
4014,луначарк шо гепнул,1
4015,побачит летіт ракет центр,1
4016,ви газов камер щовечор трапл підвал кол ракет летіт,0
4017,как проех ки,0
4018,шо прям пошел дожд сраз,0
4019,вы знает кто главны поставщик оруж украин нет западны партнер орк,1
4020,тікток військ,0
4022,спро лиз может больш вериш,0
4023,дом на танк стоят,0
4024,фсб задержал шестерых участник нападен псковск десантник чечн о год тогд результат неравн бо о солдат прот окол о боевик погибл ч десантник тепер ск фсб отчит о задержан член банд жител татарстан чб лет пятерых подозреваемых задерж територ республик ещ оден санкт петербург подозреваемым ближайше врем предїявят обвинен стат о ук рф бандитизм воружены мятеж посягательств жизн сотрудник правохранительн орган фсб отметил что продолжают мероприят поиск участник преступлен терористическ характер прошлых лет избежавш уголовн ответственост,0
4025,забут закрит двер,0
4026,чул вистріл хотіт поранит хлопец баз кол сільп,1
4027,руск мат утонул,0
4028,слав бог что дом хран ви господ,0
4030,повн віде українськ птурник окоп прям цвинтар глумл могил,1
4031,війн війн ремонт план,0
4033,тероборон підьїхал пастерівськ,1
4034,забир товар нест дод хотіт прийм картк значит брат безкоштовн,0
4035,сегодн было мног самолет,1
4037,ліс замінуван,1
4038,куд ми не,0
4039,арестович співідношен сил накопичен технік просуван видн операц рф донбас увінчаєт усп підпис надісл контент,0
4040,уроженец одес руководит бомбардировк мариупол разведк генерал лейтенант командующ авиац вкс рф серг кобылаш родивш одес причастен убийств мирн населен груз сир ныне принимает участ уничтожен родн земл украин,1
4041,норм пис гол дружит,0
4042,окол ч х час что очен далек грохал,1
4043,вкс рф работают донецк направлен,1
4044,кста бар четвер приїж,0
4045,бердянск окупант назначают должност мэри дворник замэр назначил горожанин никит самойленк собщает запорожск областн воен администрац человек интересен как говорят запорожск ов раньш работал дворник позиционирует себ как творческ человек утверждает что видит узор во сне разговаривает с камн говорит ов сейчас готовит город ма разрисовывает бордюр украшает клумб,0
4046,что пис мят,0
4047,пентагон украин получил истребител запчаст союзник сша джон кирб уточнил что сша помогт с доставк дополнительных запасных част перевозит целы самолет уточнил как стран стран предоставил авиац т рос начинает ново наступлен донбас сша очен очен скор будут обуч украинц обращен с гаубичным артилерийск систем ограничено количеств украинск инструктор научат работ с систем зат обучат сво колег систем е боеприпас такж будут перемещен из сша украин очен очен скор заявил т ме рвоенкор,0
4048,чоловік дівк повернен кукух,0
4049,где бухает,0
4050,мобилизир мужчин крыму отдельных район донецк луганск област окупант уничтожат генофонд советник глав офис президент михаил подоляк ег слов невозможн организов мобилизац херсонск ил запорожск област поскольк нет лояльност росиян людин будут брат оруж переходит сторон украинск войск очевидн виж смысла этом пот что очен мног бурят ещ ест их можн привозит он вед считают люд отметил подоляк ране этом повід высказал советник глав оп алекс арестович эфир фейгин ег слов мобилизированых диваных эксперт ил мужик с живіт как показывает практик хватает примерн ден зависимост интенсивност,0
4051,загал даил маил видан серйозн прот існув багат клон звідк людин черп інформац перевір жовт британськ прес,0
4052,машин с люд растрелян укронацист,1
4053,потребув лік сигарет засіб особист гігієн продукт пис лс відправит дніпр тепер північ дитяч світ,0
4054,сєк ричит туп сторон,0
4055,состоян о апрел о г територ донецк народн республик групировк войск днр перт огнев подержк вс рф освободил установит полны контрол над населеным пункт включ насел ные пункт великоновоселковск район равнопол новос лка макаровк сторожево завершает зачистк мариупол,1
4056,вылетает ошибк из что вышла нов верс реакт где использует реактд,0
4057,начал,0
4058,польщ таємн готув визвольн похід україн мет проводит комплекс захід постачан озброєн технік найманц через польськ українськ кордон декільк зьєднан військ польськ мотострілецьк дивіз повітрян десантн бригад готув проведен миротворч міс військ польськ максимальн активізув захід доукомплектуван підрозділ штат військов час набір доброволец здійснюв через сайт міністерств оборон польщ,1
4059,знат дамб проїзн,1
4060,хуярят,1
4061,дрон над центр черкас,1
4062,как живет мариупол нынешн услов передвижен авт тольк с букв рук бел повязк инач растрел собщают телеграм канал местн горсовет,0
4063,часов штурм позиц всу район александровк херсонск област остал безуспешным враг отступил оперативно командован юг собщает что уничтожен окупант единиц техник рф сред которых бронирован инженерн автомобильн бпла,1
4064,явно признан эфективност росийск удар запас нефтепродукт украин центр противодейств дезинформац перт совет национальн безопасност оборон призвал граждан сми публиков сет информац о маршрут обїем мест хранен нефтепродукт,1
4065,последств взрыва бомб ирпен никт пострадал,1
4066,по арм росі збит шіст українськ безпілотник над населен пункт підвисок чистоводівк яковенк покровськ крім два українськ тактичн ракет точок бут збит район донецьк скільован докладніш зведен міноборон т ме русвеснас,1
4067,может что получит,0
4068,уман людин могут выйти из бомбоубежищ,0
4069,бусік прилетіт гранат варіант відкинут вперед де ніхт відкинут праворуч де пуст залишит гранат г відкинут голіт товариш московит правильн відповід г п с момент віде азов помітит автор телеграм канал нижч повн віде,0
4070,север львів блокпост виднет флаг украин,1
4071,мариыпол,1
4072,могт гриміт,0
4073,причетн скоєн злочин територ донбас бут встановлен притягнут відповідальніст ск рф,1
4074,черк шо ви те облост хз шо,1
4076,розказув шо кіровоградщин орк зловит три,0
4077,полны список украинск артист работник культур журналист которым запретил вїезд рос о лет списк человек,0
4079,зараз бут мариупол блокад сним,1
4080,йомай дат пожит спокійн,0
4081,луначарк что хлопнул,1
4082,чег он пашет как всегд,1
4083,прям сейчас нужн витамин,0
4084,всу хуярят арм окупант,1
4085,кадир повідомл взят селищ стар краснянк між кремін рубіжн,1
4086,пот космічн фінансуван,0
4087,первы считает ег смотрел кю тв ноч помнил,0
4088,кононовц сто танк рашист,1
4089,враг обстрелял поселок больш писаревк сумск област которы находит границ с белгородск област рос этом собщил глав ов дмитр живицк дет пок предоставил,1
4090,глав аз валын срочн порядк обратил руководств хохлянд о помощ эвакуац их с азовст стран третьег мир т мног раненых окол о человек всушник вмест с детьм женщин нет подпис,1
4091,післ вибух післ мінометн обстріл бут прийн вилазит підвал перекрикув через паркан сусід ім крич перевір вікн львівськ будинок істор знайт притулок близьк о біженец різн міст україн ірин володимир втект ірпен річн злат батьк харк март два син чек трет дитин сім буч будув будинок послух істор,0
4092,військор олександр сладк повідомл командувач св нат генерал лейтенант роджер л клот раніш взят полон маріупол ймовірн доставлен росі,1
4093,организован волонтерск штаб г черкас ул благовестн о,0
4094,вищ пнм зірк,0
4095,лондон заклик москв милосерд британськ полонен україн заклик поставит милосерд полонен заявит джонсон слов захоплен російськ військов маріупол шон пінер ейден еслін бут військовослужбовец зсу найманц мисливец рушниц вистрілит ведмід просит вбив,0
4096,наскільк відом бут поранен знат перт обставин,0
4097,владе мног как информац владе этих черт из всу,1
4098,блін жутк,0
4099,впервы виж что слав отдают говн,0
4100,ещ один сбит вчер над изюм истребител тольк получил подтвержден разведк,1
4101,артилерийск подразделен вдв хід специальн воен операц подерживают огн м десантны подразделен уничтожают долговремены огневы точк ведут контрбатарейн борьб с артилер всу,1
4102,через ракетн ударит чуднов змінит рух потяг бердич стат вчор пізн вечер ранок жител бердичівщин обмінюв між чутк про бомбуван сусідн громад лиш близьк десят ранок явит офіційн інформац про ракетн ударит інфраструктурн єкт чудн укрзалізниц повідомит про обстріл залізничн станц про затримк потяг ділянк шепетівк бердич ки рах ч ки іван франківськ ч ки львів ки ужгород ки чернівц зо зо ужгород ки ч зо рах ки ч іван франківськ ки іван франківськ харк ч львів лоз зо іван франківськ кременчук ковел ки ужгород харк ки ковел зб одес ковел львів дніпр ч ч солотвин ки оч перемишл ки більшіст потяг графік вокзал зупин сутєв затрим ніч повідомл рі бердич зранк вокзал бердичев бут спокійн потягт солотвин ки прибут годин пізніш затримк цілк вклад запізнен остан тижден,1
4103,літак летіт бут бомбардув,1
4104,українськ рад нацбезпек дуріст окреслит майбутн меж обрізан держав увійт територ правильн вимовл перелічен організац слов,1
4105,результат ночн прилет завод визар под киев,1
4106,район дитяч містечк казк знайт документ ім прохоренк анастас прохан поширит груп дівчин черніг зверт телефон о о,0
4107,наді грім йобнул знатн,0
4108,бердянск окупант назначил дворник заместител мэра собщает запорожск областн воен администрац сейчас высокопоставлено лиц красит бердянск,0
4109,нацист мер дніпр бор віш сепар філат вигляд змарніл лед плак бравурн гасл поход кремл каз завдан забезпечув комунальн господарств міст стат борис де колишн запал,0
4110,всу підірв цистерн ймовірн солян кислот оден цех завод зор рубіжн про повідомит представник народн міліц лнр андр марочк віде зйомк очевидец наслідок вибух над міст підн густ помаранчев дим т ме рвоенкор,1
4111,дамб єдин спосіб перебр сторон,1
4112,но ыестеш бардз пи кно,0
4113,ау чуд словарны запаст окончен сдела одолжен ид след жириновск,0
4114,зсу відбит наступ ірпін три напрямок мер,1
4115,прод фитнес браслет лемф пз плус с тонометр черны цвет браслет ест шагомер сч тчик калор пульсометр будильник подключает телефон через блютуз зарядк усб хватает дне спокойн сенсорны экран полн комплектац коробк инструкц запасны ремешок времен хорош состоян правд ест нескольк потертост фот видн сейчас розетк цен час ч грн из потертост вещ цен виж огрн контакт о зо о,0
4116,зло с добр борет,0
4117,дум житомир кін літ хотіт бід робит,1
4118,харьк ве континентальн мощ брошен херсон тольк крым сдал ег силовик вчер зел забрал лычки сбушник херсонск которы сїеб,1
4120,сам слобод гремит,1
4121,бл шо вийт вулиц забир шоколад машин шорт футболц хвилин о бут курв нігот посиніл,0
4122,пво ужасал,1
4123,дозволит українец підн повітр більш авіац повідомит представник пентагон джон кірб новин,0
4124,сафар парнух дивит приватн ам істор пис,0
4125,путин трагед донбас вынудил заставит рос нач специальн воен операц украин рос действов последовательн доб чтоб жизн донбас нормализовал,0
4126,мы видел как что пролетел сторон хутор хлопнул посол этог,1
4127,вот доказательств что вов,0
4128,первы заместител председател комитет вопрос антикорупцион политик юрчишин отмечает что воружены сил украин нуждают современ оруж эфективн оборон украин частност истребител вертолет систем пво современы зенитны ракетны систем противоракетны комплекс артилерийск систем реакт противотанковы ракетны комплекс противокорабельны ракет танк бронетранспортер снаряд боеприпас стрелков оруж настояще врем воружены сил украин защищают тольк украин границ европ агресор подчеркивает юрчишин бут решительн помогит остановит войн котор начал рф прот украин единствены способ быстро закончит войн воружит украин украин борот бут бок о бок с борьб с агресор независимост украин мир мир,0
4129,колег информац отступлен всу из лнр было мелькал информац отвод частит войск эвакуац командован украинц сохраняют позиц лнр прост отступ намерен освобожден кремен созд т угроз окружен т речк с юг на войск занят взлом эшелонирован оборон бахмутк попасн единствен угроз котор вынудит украинц перегрупиров успешны действ руск направлен ямпол лиман которы вынуждают укрепит оборон славянск лисичанск с центр северск возможн даны ман вр позволит облегчит окончательно освобожден рубежн северодонецк однак утвержд что украинц оставят пок ещ удобны оборон лисичанск преждевремен,1
4130,тепер танк как мужик буч донбас обмены фонд,1
4131,ви вибух далек чут,1
4132,вноч російськ військ відкрит вогон житлов будинок новодружеськ лисичанськ здійнял пожеж газопровід перебит керівник луганськ ов гайда обстрілял міст гірськ,1
4133,летят мног птиц центр город,0
4134,говорят киев шот чутн,1
4135,азот підірван,1
4136,вчен,1
4137,авиац чутн,1
4138,зароджув кохан,0
4139,ходят слух что фаит тож девушк ест,0
4140,хлопец посад натрапит сьогодн взагал провокац,0
4141,с апрел последн о тысяч марк корабел которы пош л нах можн купит интернет магазин укрпочт прекратил продаж знаменит постов марк одолен кто успел еб оц трух украин присл новост,0
4142,харьк памятник шевченк борит поборот,0
4143,очередны кадр снят член тероборон позиц которых попал под масированы обстрел,1
4144,ве рос оден віде міст кушв свердловськ област екскаватор пробит колес повзт дорог чіпл ківш мінус кілометр дорог туп осел розбит дорог хотіт звільнит ви ху инфофакт україн підпис,0
4145,вобщ думал пво друг работает чуж самолет залетел сбывает бюрократ ест пример швец,1
4146,что накрыл,1
4147,врубил сраз сер пц,0
4148,людин схаменут зварюван пожеж гасит пожежн частин повідомит чек скор вирішит,0
4149,вебкадем реальны проект явасцрипт викторин о програм урок основ йс знакомств с верстк проект начин пис йс код отображен вопрос функц шоwqуестион отображен вариант ответ проверьт ответ пользовател функц чецкансwер много друго описан изучит курс провест весн с польз боле о о курс доступн,0
4150,чвк форwард грустят что воев с руск покатушк пустын,1
4151,серг прям зараз спалит,0
4152,хорош росіян ви дійт,0
4153,пок будув командн пункт,1
4154,підн квартир дум перш поверх гірш підвал спустит річ валіз напогот,0
4155,фейк прям эфир украинск ч канал показ кадр паден подбит росийск вертолет которы сопровожд переговор с диспетчер правд совершен абсурдн поделк котор имет ничег общег с реальност виде крушен вертол которо произошл во врем авиашо полигон дубрович рязанск област о год голос кадр принадлежит известн стример глад валакас ил валер жмышенк фраз ал диспетчер пад с ка понял понял вычеркив коментировал ход игр мицрософт флигхт симулатор из этог ролик со стрим игр опубликован ютуб канал валакас взят аудиодорожк озвучиван якоб воен репортаж украинск сторон западны сми неоднократн использов материал из компьютерных игр создан фейк репортаж обстрел город украин использов кадр из компьютерн игр арм бо с киевск призрак кадр из симулятор дигитал цомбат симулатор,0
4156,білгород загасит пожеж виліт,0
4157,короч сейчас тольк воздух впуст сотряс завтр станет кто ком сдал ил кто куд прорвал,0
4158,просит максимальн распростран дан информац важн чтоб рубеж знат правд аз развлечен ставит жител город колен попрост поставит колен направит теб оруж подпис канал макс григорьев с очевидц участник событ продолжен следует,1
4159,лиш ви трох запал заспокоїт бут ласк розуміт зараз нелегк,0
4160,добрит ден шук звьязок рідн прожив київськ област,0
4161,народ кто из черк где можн одноразк купит щас недалек отел дворец,0
4162,репортаж кореспондент из мариупол эксклюз сраз же окончан реж прекращен огн укреплен неонацист из называем аз промзон мариупол внов обрушил огон артилер подробне наш эксклюзивн материал хотит помоч нашем волонтерск проект вот реквизит карт сбербанк чб о о з,0
4163,канал кром местных дают информац о тревог,0
4164,пентагон повідомит україн отримув літак винищувач,0
4165,бабак мін ядечк,0
4166,мен почет фавон р,0
4167,балистическ ракет сегодн летают пот что сильны ветер,1
4168,представник мзс рф захар заявит рос попередит фінлянд швец про наслідок вступ нат нагад сьогодн о квітен парламент фінлянд розпоч обговорен питан про вступ альянс новин секунд,0
4169,крейсер москв затонув екіпаж крейсер москв бут евакуйован корабел чорноморськ флот знаходит район міноборон рф,0
4170,состоян о апрел о г територ донецк народн республик групировк войск днр перт огнев подержк вс рф освободил установит полны контрол над населеным пункт включ населены пункт великоновоселковск район ровнопол новоселк макар завершает зачистк мариупол,1
4171,зараз мусоровоз сміт забир звук машин їх чул спочатк бут звук стріл настрашил хвор блят забир сміт кол тривог,0
4172,могт допомогт хлопец потрібн турнікет волонтер област,0
4173,найкращ оцінк колишн комбат аз білецьк жорін дат гол нинішн комполк редіс говорит калин позначит трус зрадник нин жорін збир нов полк піт мат попрацюв гол,1
4174,бля мен щек горят дум ты что мен снов пиздыш,0
4175,слов росіян скинут надпотужн авіабомб дан ваг х тон район польов госпітал місц де знаходит цивільн числ дитин внаслідок людин залишит завал скільк визначит неможлив оперативн новин фейк пропаганд нк підпис,1
4176,звук похож когд снаряд под дім разрыв,1
4177,літак над площ шевченк нє,1
4178,земл падает астероид,0
4179,розуміт знов віртуальн перемог україн згадув маріупол о полонен,0
4180,ебал скольк игр откатал сегодн,0
4181,шлях звільнен рф взят контрол комбінат іліч маріупол коментар раді спутник,1
4182,повторя кто дал прав закрыт укрыт замокнут подозрев кто даж даж знат кто тако где слышал закрыто замокнут укрыт вед кто украл коф лампочк пуст задавит тем лампочк вы преступник откройт укрыт мат ли ви больниц где во врем войн нет хирургическ отделен операцион где нет штат хирургическ отделен,0
4183,звук бут схож кол снаряд будинок розрив,1
4184,відчув стар,0
4185,зараз маріупол,0
4186,добр ден де обмін гривн євр,0
4187,сильны гром слышал,0
4188,тир гестап маріупол офіцер сбу бігт посп всюд розкидан військов форм мабут переодяг бігт посп повідомл кор из ру роман польшак серед кадр документ вирван сторінк співробітник сбу перед втеч залишит лиш чист лист т ме бтр о,1
4189,привид взагал красен збит о літак,0
4190,просят пис куд ракет прилетел летел ли вобщ тако,0
4191,каз віцск обьєкт шиномонтаж оф інформац,1
4192,губернатор калининградск област алихан мят кажет пришл врем всем этим люд олигарх нач парков эти яхт сем можн балтик черн мор где угодн вкладыв инфраструктур сервис этих яхт ремонт калининградск област всегд была кстат столиц судоремонт север западн зде ест предпосылк этог честн сказ когд нибуд смотр эти новост что как богат человек отобр яхт стоимост о милион долар мен сердц кров обливает пот что эти деньг можн было построит проект марин причал всег что мы проектир калининградск област слом построит ещ слом построит трет пот мен прост растройств принцип то ресурс которы оден яхт вложен можн было давным давн росийск федерац созд хот оден класн верф высок уровн миров котор строил так яхт созд себ инфраструктур спрос ест,0
4193,стус допомогт посадит,0
4194,українськ слаб напис чі тиж смілянськ,0
4195,вси пушыт польск,0
4196,киевск област дво лесник подорв вражеск противотанков мин когд ех машин один из погиб втор попал больниц,0
4198,видел ви сегодн,0
4199,повідомл про вибухнут луцьк детал згод змі львів ч підп,1
4200,прям поїх байк,0
4201,протест вираж атак мережн інф структур країн хотіт чут тепер слух атак мережн інф структур чех атак мережн інф структур польщ т ме килнет_чанел,0
