commenttext,spam
"И еще закрыты в группе ТГ по Северодонецку, которые первое время были открыты. Я мониторил сначала. Люди начали задавать неудобные вопросы после странных прилетов по городу с неожиданных направлений из оружия небольшой дальности. После этого комментарий быстро закрыли, им не нужны разногласия, правда должна быть одна, украинская 👏😄",true
У нас окна открывались,true
"це не алкоголізм 🙈 то лише осьо три дні, завтра не буду 🥰",false
"Видео, показывающее ситуацию в некоторых районах Харькова, непрерывно обстреливающих враг. Это вчерашний ""прилет"" по району Салтовка. Сегодня там снова опасно. Местные власти просят людей целый день оставаться в укрытиях даже при отсутствии воздушной тревоги.",true
"❗🇺🇸🇷🇺🇺🇦🔥 Україна отримала винищувачі, а також запчастини для літаків від союзників США Це дозволить українцям підняти у повітря більше авіації, повідомив представник Пентагону Джон Кірбі. @vorposte",false
"Но даже в Украине есть те, кто против нее, несмотря на то, что летящая ракета не спрашивает, за Украину ты или против.",false
"Дякую за роз'яснення, ми з дитиною так злякались що побігли ховатись у ванній) тут кожного шороху боїшся)",false
Міжнародний русинський рух звернувся до Путіна з пропозицією перетворити Західну Україну на Карпатську Русь,true
"Эксклюзив ⚡️Сложный бой за Марьинку: турецкие наемники, минометные дуэли и ""подарок"" от американцев. Продвижение вглубь идет тяжело: окопное сообщение ВСУ растянулось от дома к дому, военная техника находится в жилых районах @FridrihShow 🖌 #Марьинка #УкраинаZ",true
Поехала колонна грузовиков,true
Сила атаки начебто,false
У Львові багато наших солдат.,true
какие гуманитарные коридоры работают,false
хімпас вибух амброс,true
"Енерго, газо та водопостачання не вдасться відновити у містах Попасна, Рубіжне та ще в частині сел Луганської області до завершення війни, повідомив голова Луганської ОВ Сергій Гайдай. Оперативні новини без фейків та пропаганди НК+ > Підписатись",false
"Выкопаем траншею, яму канализацию, кладку кирпича в ямах доставка и установка колец обращайтесь по телефону /+380634652950",false
добрий день хтось їде Черкаси-Ромні чи Черкаси-Суми через Ромні? терміново потрібне 1 місце для жінки заплатимо,false
В Киевской области тихо,true
У нас міни на пляжі не клали?,true
"Самолеты то не будут, а сами поняли, что будут",false
Лишь бы не рвануло,true
"В Харьков уже отправили пидаров, они ссались, готовы были идти под трибунал, но мы их ждём, головы поотсылаем мамашкам решистким. Скапливая чтоб этих пидаров в плен не брали",false
Ворог продовжує знищувати інфраструктуру Київщини,false
Атака с воздуха идет полным ходом,true
"КАМАЗами свозят трупы и бросают технику, – председатель Луганщины о потерях врага В ночь на 20 апреля в Луганской области было зафиксировано меньше наступлений врага и обстрелов. Вероятно, это связано с тем, что кафиры несут огромные потери среди личного состава. ""Больницы заполнены ранеными орками, КамАЗами где-то ближе в Луганск свозят трупы, а техника остается"", - рассказал глава области. НОВОСТИ",true
Или вышел из под контроля,false
Другое дело там младший брат был,false
Слава ЗСУ🙏🙏🙏,false
Чим тобі допомогти?,false
Ну наконец-то,false
на химпасе очень безопасно и круто,false
"12 марта 2022 года старший лейтенант Владимир Зозулин вместе со своей разведывательной ротой обнаружил позицию украинской артиллерии и передал координаты для ее уничтожения. При дальнейшем продвижении вместе со своими бойцами попал в засаду, но сумел не только удачно контратаковать, но и взять в плен офицера ВСУ с документацией. На пути к точке эвакуации Владимир Зозулин получил несколько осколочных ранений, отправил свой отряд дальше, сам начал прикрывать их отход. 30 минут он вел бой с превосходящими силами противника, после чего подпустив их вплотную к себе подорвал гранату.  Владимиру Зозулину присвоено звание Героя России (посмертно). Его именем будет названа улица в г. Иваново.",true
Царство Небесне і вічна вічна пам'ять,false
Кто-то скинул его в сапог?,false
"Молдова збереже нейтралітет і не приєднуватиметься до санкцій, які Захід ввів проти Росії - президент Майя Санду для Radio Europa Liberă.",false
це свої літати,true
"На фоне неудач на фронте Кремль начал ""чистки"" руководителей ""ЛНР"", — ГУР  Сообщается, что  “министр внутренних дел ЛНР генерал-майор” Корнет Игорь арестован сотрудниками ФСБ России и в настоящее время содержится в следственном изоляторе ФСБ в Ростове на Дону. Его арест вызвал негативную реакцию со стороны силовых структур и политруководства ""республики"", которые оценивают это как начало изменений в силовом блоке квази-государства.   ""ЛНР"" и ""ДНР"" пора привыкать к подобным новостям. На фоне грядущих неудач чисток и визитов ФСБ в силовые структуры т.н. ""республик"" будет больше.  ПОДПИСАТЬСЯ 🇺🇦 Прислать контент",false
Бойове застосування БРК «Бал» Чорноморського флоту з об'єктів ЗСУ.,false
От любви до ненависти пол шага,false
куча літаків тількищо пролетіло,true
Да какой гром,false
Не только вам. Так что немного пыл свой успокойте пожалуйста. Я все понимаю но сейчас всем нелегко,false
Только хотел в магаз пойти...,false
"‼️💥Огонь по врагу! Под Донецком РСЗО залпами бьет по ВСУ Авдеевка, Пески и Марьинка под Донецком были захвачены ВСУ и нацбатами в 2014 г. и превращены в настоящие крепости, из которых ведутся обстрелы столицы ДНР. Наши бойцы подавляют огневые точки противника в этих районах. t.me/RVvoenkor",true
"Слышишь ли ты, ювелир",false
🇷🇺Спецназ Росгвардии обнаружили и обезвредили более 400 кг тротила в Харьковской области,true
"в современной дипломатии, где место только лицемерию и отсутствием дальновидения - согласен",false
ВКС РФ працюють на донецькому напрямку.,true
Угледар стороной обошли,false
Прям за ними летит воздушный шарик,false
"Трансфер/перевезення , Закарпаття, Львова, Яремче, Чернівців, Івано-Франківська, Ужгорода і областей  - в будь якому напрямку або до/від кордону У будь який час. Toyota Camry 55 2016р. 3-4 місця  Трансфер від адреси до адреси, будь яка допомога водія. 0671392613",false
"Так і шо ви тут, як справи у вас?) Я вчора мало не потопивши човен)",false
"Ликвидирована группа войск, которая проскочила Кременную и заявила, что Кременная взята — Арестович",true
видел как сбрасывают ракету,true
Вічна пам'ять,false
"Тем временем батальон ""Сомали"" ДНР в Мариуполе)",true
"Та навіть в Україні є ті хто проти неї,не дивлячись на те що ракета котра летить не питає ,за Україну ти чи проти.",false
В Питере лето за грибами ходят на полигоны..,false
Але віддам мен на чашечку кави,false
діч,false
"Работа танков и БМП-3 российский мыл в Мариуполе. Судя по знаку V на бортах техники, к зачистке города подключились и представили группировки передислоцировавшийся из-под Киева.",true
"НПО снимет фильм ""Вернокрылы в Чернобаевке""",false
) о да. У нас в Ха было все не так. Но молнии и гром прям уфь,false
вона блювати сьогодні відчудила,false
"Применяемое правило касается «тоже» как союза. Проверяем посредством союза «i». Заменимость» тоже» и» говорит о том, что — это союз — пишем вместе.",false
"Доброго ранку! Підкажіть, будь ласка, де можна сьогодні в місті зробити ксерокопію? Де раніше робили - вихідний, а сьогодні терміново потрібно і неочікувано🙈🙈🙈",false
"⚡️🇷🇺 СК РФ заявив, що обстріл селища в Брянській області був авіаударом з гелікоптерів «З використанням двох бойових вертольотів, з важким наступальним озброєнням, військовослужбовці ЗСУ незаконно вторглися в повітряний простір Російської Федерації. Рухаючись на малій висоті, діючи навмисне, вони провели не менше 6 авіаударів по житлових будинках у селищі Климово Климівського району Брянської області», — повідомили у відомстві. Порушено кримінальну справу. @turan_express",true
їде танк,true
"Вечерняя сводка Штаба территориальной обороны ДНР на 20 апреля 2022 года  Власти ДНР продолжают проводить первоочередные мероприятия, направленные на восстановление социально-гуманитарной сферы.",false
А ось і личко. Ебало захлопни))) А то баби давати не будуть 😂,false
Но произошла деруссификация за бабку,false
Наше тебе это старое?,false
Аууу чудо😂 Все словарный запас окончен? Сделай одолжение иди вслед за Жириновским 😂,false
Мені це можеш не слати.я дружина військового.знаю що і як відповідати.вільні,false
"Кратко по Изюму. Всю ночь РСЗО ВСУ обстреливала Изюм. ВС РФ ведут бои в районе села Сулиговка, проламывая оборону противника. Район Сулиговки очень хорошо укрепен,  наша артиллерия работает безостановочно.   Вчера наша разведка взяла пятерых пленных, прямо на позиции украинской артиллерии. Все рассказывают, что были мобилизованы месяц назад из Житомирской и Черниговской областей.",true
От прилета рашистских ракет в Днепропетровской области пострадали 2 человека - председатель ОВА Резниченко В 2 районах области пострадали инфраструктурные объекты. НОВОСТИ,true
"Черкаси, актуальні потреби по відправленню для хлопців на позиції та цивільних",false
Гостомель зачищен от русских оккупантов.,true
"Куме бачиш зорі? – Бачу! – То вставай, палатку вкрали.",false
"⚡️❗️Охоронець Медведчука розкрив, що політик після втечі з-під домашнього арешту перебував у Києві Для “пересидки” кум путіна вибрав розкішний будинок біля Протасового Яру в будинку за адресою Яслинська 11в. Вартість оренди будинку площею близько 800 кв. м – майже 400 тисяч гривень на місяць. Надсилайте контент у бот @novosty_kiev_bot ⬅️ (все АНОНІМНО) ➡️ ПІДПИСАТИСЯ",true
Зі сторони Донецька трохи вибухи,false
Інший ракурс з вибуху у Миколаєві,true
Я вдячна за все нашим воїнам і прихиляюся перед ними і молюся за них.,false
танки йдуть на харків,true
ти знаєш усіх росіян?,false
йдеш жорстко формувати на лінії,false
Слышал что он с Черкасской области с не из Черкасс. И ваша ухмылка не уместна ((,false
"Зайшли пвошники, буденно, з жартами та примовками розповіли, як збили вчорашню крапку. Однією ракетою під зад, але та лише змінила напрямок. Другий – вже на поразку. Касетні боєприпаси розірвалися у повітрі. – А куди летіла? - Запитуємо. - Та до вас і летіла, - сміються. - Дякую, хлопці, - потиснули ми їм руки. Рутин. https://t.me/sashakots/31490",true
"‼️‼️Видео взрыва ракетного крейсера «Москва»🇷🇺, который был вчера затоплен в бассейне чёрного моря украинскими противокорабельными ракетами «Нептун» 🇺🇦.  @terrorism_chronicles",true
ракета впала в Дніпро,true
Бомбят пукани у Хохлов 🤭,true
Пишут в Харькове взрывы(,true
"Ты там всех знаешь, договоришься за пивку)",false
"Дзвони перешмонайте,починаючи з вохра",false
Біля стовбура дерева зараз багато мурах бігає - весна ж,false
"🚀12:52 Мозырь, может быть ракета или истребитель. @Hajun_BY",true
Місцевий паблік каже що гради прилетіли звідти де немає росіян.,true
"⚡️Испанская сеть магазинов одежды Inditex, владеющая брендами Zara и Bershka, рассчитывает возобновить деятельность в России, когда это будет возможно, — сообщил управляющий Inditex.",false
ВСУ вернули под свой контроль городок Тростянец Сумской области.,true
🆘🆘Кто может подать 2 или хотя бы один стартовый пакет Вадафон? Очень срочно нужен🙏,false
Боевое применение БРК «Бал» Черноморского флота по объектам ВСУ.,false
"#эксклюзив  Ранее я публиковал рапорт желающего вступить в «Азов» и о куче подобных документов, которые были найдены в Мариупольском Драмтеатре. Это к слову о том, что один из штабов "" Азова"" находился в драмтеатре, который они взорвали, что бы уничтожить документацию, но сгорело не всё. Фотокопии остальных документов здесь. Уверен, что эти данные будут интересны тем, кто составляет базы украинских нацистов и силовикам.",true
"Российским военным сдался сотрудник управления СБУ по Донецкой и Луганской областям, принимавший участие в подготовке диверсионных групп, сообщает российское Минобороны.",true
Я сьодні два стакани вина як бемкнув,false
"У росії достатньо потужності, щоб поставити на місце всіх недругів рф",true
"пока не бомбонет, никто прятаться не будет",false
За смелой наставили ежей для окупанта,true
"То вранці я зміг зв'язатися сказали бомп'ят, і все після цього не можу якось",true
Вот даем пиздюлей оркам...,true
Приватне Підприємтво Нещадим  Оператор Чату.   Шукаємо відповідальних співробітників та дівчат привабливої зовнішньості для фотосесій.   Обов'язки:  -Відповіді на запитання наших клієнтів.  -Робота з базою клієнтів.  -Переклад іноземного тексту для наших партнерів (використання Google translаte)   Вимоги:   -Вік від 18 до 30;  -Відповідальність та розуміння як працює Інтернет.  -Роботі необхідно приділяти не менше 7 годин на день.   Умови роботи:  -Робота на офісі в дружньому колективі.  -Перспектива кар'єрного росту.  -Гнучкий та зручний графік.  -Є система бонусів та премії.   Відповідаю на всі запитання в телеграмі до 18:00 щодня.  Телефонні дзвінки в будні дні з 11:00 до 16:00.  За даним номером пишіть в Телегам.,false
"Сначала с помощью дрона вычислили позиции окупанта, затем полили врага из реактивных систем залпового огня «Град».",true
"Путин: «Трагедия в Донбассе вынудила, заставила Россию начать специальную военную операцию на Украине».  Путин говорит, что благодаря России на Донбассе наступит мир: «Так и будет!».   Дурка",false
Мені потрібні доки прям зараз,false
Слышали?,true
"⚡️Ракетні удари та потужні вибухи в Краматорську. Жителі повідомляють про проліт крилатих ракет над головами. Один із вибухів у районі СКМЗ, завод давно закритий і його корпусами користуються ЗСУ для потайного розміщення бойової техніки та особового складу.",true
окупанти їжу роздають,false
Коли додому? Магазин на Чорній горі уже закрили?,false
"🛩17:20 Речица, 3 самолёта полетели на север  🛩17:22 Гомель, со стороны Украины возвращаются истребители.  🚁17:25 Мозырь, два вертолета Ми-26 полетели на СВ.   @Hajun_BY",true
"на скільки знаю, в бункер де зберігалась зброя ходили і ХОДЯТЬ ДЕСЯТИЛІТТЯМИ! сотні людей і це нікого не бентежить... це пічалька...",false
Что это хнычет у нас?,true
"побачили ракету, її збили у повітрі",true
У нас у небі бої.,true
Шкилу видно издалека),false
"Укронацисты на глазах русских солдат топчут гуманитарную помощь из России. Топчут, потому что русские не реагируют на это. Топчут пока им не прострелили ноги.",true
десант высадился в геронимивке,true
"🇷🇺 Путін: трагедія на Донбасі змусила Росію розпочати спеціальну військову операцію в Україні. Росія діятиме послідовно, доб'ємося, щоб життя на Донбасі нормалізувалося.",false
"А ти давай, а нє а єслі",false
В мене вже на постійній основі в голові звучить.,false
На жаль не можу скинути фото сюди,false
"Сегодня во все микрорайоны села удалось доставить продукты, воду, средства гигиены.",false
"Куплю свинью живым весом от 120 кг. Желательно Андреевка, Шелудьковка, Генеевка, Скрипаи. 050 591 45 00",false
У нас тільки салюті на н бассарабії.,true
"у нас тут стеляют, боимся выйти",true
"ТАК??? БОЖЕ ЯК Я БОРЩ ХОЧУ, ВИ Б ЗНАЛИ",false
Хз Я так постоянно делаю Только к утру словно кто-то глаза запаял,false
"Про це розповіли у Львіському «Охматдиті». Поки мама Наталя кормила курей, однорічний Юрчик пропхав свій пальчик крізь сітку клітки з кроликами. Нажаль, тварина відкусила пальчик хлопчику. «Ми якраз поралися по господарці і Юрчик був зі мною. Я відволіклася, щоб погодувати курей, а він у цей час пропхав пальчик до кроликів, хоча раніше такого ніколи не робив. Це було дуже страшно, було дуже багато крові, але, на щастя, невідкладна допомога приїхала дуже швидко і нас доправили до лікарні», - розповіла мама Наталя. На жаль, врятувати пальчик дитині не вдалося. Зараз малюк відчувається добре. Лікарі нагадують батькам, аби вони були уважнішими і пильніше стежили за маленькими дітьми, аби не допустити дитячого травматизму, на жаль, з незворотніми наслідками. 🇺🇦 Львів 24/7",false
"❗⚡ После удаления Tik Tok из российского App Store каждый кадыровец это сложно пережил, некоторые подразделения Tik Tok войск не пережили и понесли большие потери, говорят, что их боеспособность уменьшилась как минимум в ТРИ с половиной раза. @HarpoonNews 👈",false
тбп урезали до уровня покалеченного МОшного,false
"А ты видел, что Гоблин говорит о войне?",false
Є офіційні сторінки в інста нашої гуманітарної організації. Підписуйтесь 💪🏾 https://instagram.com/go.palyanytsya?igshid=YmMyMTA2M2Y=,false
Наглость страшная. Сбу проперживает штаны пока эта реклама бегает по телегу и по фб.,false
"Тим часом у Гаазі на змаганнях військовослужбовців, націки розгорнули свою ганчірку. Нагороджували генерали ""цивілізованих"".",true
Заздалегідь вдячна за Ваш час і відповіді,false
Горит огонь в лесу,false
Градами стріляють по дому,true
як би там було треба валити його,false
"Так само думаю. А то виходить , що війна у них (Чернігів, Суми, Харків, Донбас, Маріуполь, Херсон і т.д.), а у нас (центральна Україна, Київ і західна Україна і т.д.) - не має війни. Ні, війна по всій Україні. Війна у нас , а не у них!",false
"⚠️ЧЕРЕЗ РАКЕТНЫЙ УДАР ПО ПРЕКРАСНОМУ ИЗМЕНИЛОСЬ ДВИЖЕНИЕ ПОЯЗНИЙ В БЕРДИЧЕВЕ Случилось это вчера поздно вечером. И до утра жители Бердичевщины обменивались между собой слухами о бомбежках соседней общины. Лишь около десяти утра появилась официальная информация о ракетном ударе по инфраструктурному объекту в Чуднове. Укрзализныця также сообщила об обстреле железнодорожной станции и о задержках поездов на участке Шепетовка – Бердичев: 👉 95 Киев-Рахив +6,5 👉149 Киев-Ивано-Франковск +4 👉 91 Киев-Львов +1.39 7 Киев-Черновцы +5.30 👉 30 Ужгород-Киев +4.30 👉 96 Рахов-Киев +5 👉 44 Ивано-Франковск-Киев +5 👉 2 Ивано-Франковск-Харьков +6 👉 142 Львов-Лозовая +2.5 👉 -Кременчуг +5 👉 98 Ковель-Киев +3 👉 18 Ужгород-Харьков +6 👉 97 Киев-Ковель +7,36 👉 77 Одесса-Ковель +5,5 👉 232 Львов-Днепр +7,41 👉14 Солотви +1,04 👉 716 Перемышль-Киев +1,11 Большинство этих поездов нет в графике нашего вокзала, потому что они здесь не останавливаются. Но и те, что есть, тоже существенно задержались этой ночью. Утром на вокзале Бердичева было спокойно, поезд Солотвино – Киев прибыл на час позже, но эта задержка полностью укладывается в опоздание последних недель.",true
"Владимир Вятрович: «Каждый русский солдат должен чувствовать себя чужим на украинской земле. Короткие мгновения, которые ему остались до того, чтобы оказаться в украинской земле. Поэтому из наших городов вслед за ленинами должны исчезнуть пушкины».",false
"Если есть сомнения, значит он тебе не подается",false
💥 Момент обстрілу у Харкові. Дівчина дивом залишилася живою Реальна Україна 👈 Підписатися,true
Волынь/Ровненщина/Львовщина Воздушная тревога ❗️❗️❗️ 🇺🇦,false
"Жители Польши продолжают фиксировать прохождение эшелонов с германской военной техникой, которые двигаются на восток. Данное видео снято во Вроцлаве. @voenkorKotenok",true
2 часа на зборы и в рашкостан без права когда либо возврата в Украину.Вот что успеет взять с тем и нахер.,false
То від нероздільонної любові,false
Надеюсь наши воюют,true
23:06 Барановичи. Взлетел истребитель. @Hajun_BY,true
"Днепр тоже шумел, ударные волны доходили до центра города",true
Сегодня хорошие спецэффекты,false
"🇷🇺🙏 «Мы знали, что русские нас не бросят!»: жители Мариуполя, эвакуированные вчера от «Азовстали», со слезами на глазах вспоминают о зверствах нацистов «Азова» и благодарят бойцов Армии России и Народной милиции ДНР.",false
"пока не бомбонёт, никто прятаться не будет",false
"У мене друг в теробороні, каже сьогодні тихо, тільки щось полетіло один раз",true
Нахабство страшне. Сбу пропержує штани поки ця реклама бігає по возі та фб.,false
И рязанским акцентом в конце повеяло,false
"По Харківському ПРИКЗ було нанесено ракетний удар. В подальшому було встановлено, що в медикаментах, привезених «волонтерами» був радіопередавач. Врахуйте цю інформацію, ретельно перевіряйте все майно! Крім того, звертаю увагу на обхід територій місць дислокацій (зранку і перед настанням вечора). Це важливо!!!",true
"Як раз зараз це і повинно вирішуватись, тому що хтось собі нагрібає купу грошей та іде у неоплачувану відпустку, а когось у таку відпустку віправляють із попередньою зп у розмірі мінімального окладу, так що це наразі одне з важливих питань",false
Админ здесь читает комментарии и первый раз такое походу видит что люди стали бояться простой грозы 😱😱😄,false
"не вижу проблемы в том, чтобы такое могли снять и у нас",false
"закордонні українці та іноземці продовжують виходити на акції підтримки нашої держави, сприяючи ухваленню нових санкцій та наданню гуманітарної допомоги Україні",false
‼️🇷🇺Русские штурмовики Су-25 летят наносит удары по укрепрайону ВСУ под Донецком - в Авдеевке,true
"Дети сейчас все понимают, и кто нарисованный понимают. Я спросила у дочери, она ответила, что это украинский защитник и он прогонит россиян. Для моего ребенка – это о ЗАЩИТЕ. Она мечтает возвратиться в родной город.",false
Что-то летело очень громко Надеюсь наши,true
Вічна пам‘ять герою 😥,false
"🇺🇦🇷🇺И вновь – украинская ночь отнюдь не тиха  Российская армия нанесла удары в окрестностях Харькова, Киева, Хмельницкого.   Предполагается, что в Хмельницком целью удара стало хранилище горюче-смазочных материалов.  @anna_news",true
слышал взрыв,true
"❗️Газовая инфраструктура на освобожденных территориях Донецкой Народной Республики перешла в республику - Государственный комитет обороны ДНР ✔️За эксплуатацию систем газо- и водоснабжения, транспортировку газового топлива теперь будут отвечать госпредприятия ДНР. ✔️В освобожденных от районах будут действовать тарифы, принятые ранее в ДНР. ✔️Украинским собственникам инфраструктуры компенсировать стоимость активов не будут. Очень правильное и своевременное решение властей республики! Поздравляем! 👉 ПОДПИСАТЬСЯ",false
работает ссу,true
Возле эпика взрыв произошел,true
"ну типу, не особисто, а через знайомих у гуртожитку?",false
⚡️ В Steam стали бесплатно доступны еще четыре игры в разных жанрах ✖️KAOS SurVival ✖️Assault Bots ✖️Tag: The Power of Paint,false
Бачивши як вони з автоматами ходили,true
"‼️Испанская сеть магазинов одежды Inditex (Zara, Massimo Dutti, Bershka и Stradivarius) сообщила, что рассчитывает возобновить деятельность в России, когда это будет возможно.  Рыночек порешал. Он оказался настолько огромным, что видимо продержаться без него – у них нет возможности.  Подписаться",false
ЗСУ у Харківській області завдали серйозних втрат командному складу дивізії окупантів - повідомляє журналіст Роман Цимбалюк,true
На Чернобаевском аэродроме под Херсоном Вооруженные силы Украины в двенадцатый раз нанесли удар российским войскам - Алексей Арестович.,true
Оружие не стоит давать в каждые руки,true
Ну так хто не скаче той москаль 😉,false
"Борис Джонсон: ""Лондон готов поставлять Киеву «более смертоносные» вооружения"".   По данным британских СМИ, речь может идти о самоходных артиллерийских установках AS-90. Последние состоят на вооружении Великобритании и Польши, причем их число весьма ограничено — с 1992 года, когда установка была приняла в эксплуатацию, было выпущено всего 179 штук. Дальность стрельбы AS-90 — до 30 км, боекомплект — 48 снарядов (из них 31 в башне), максимальный темп стрельбы — 3 выстрела за 10 сек, средний — 2 выстрела в минуту в течение часа. Установка активно применялась во время Иракской войны, и, по утверждениям британцев, неплохо себя зарекомендовала.",false
кто в Смелу едет?,false
Другой ракурс с взрыва в Николаеве,true
❗️ ЗСУ відбили наступи на Ірпінь із трьох напрямків — заходів.,true
"Українські війська залишають ""трикутник"" - район Рубіжного, Сєверодонецька та Лисичанська в ЛНР-Луганськ Інформ Центр з посиланням на джерело.",true
🔥 Снайперский выстрел ПТУРа 💪🏽 Расчет из НМ ДНР.,true
В трц любава во время тревоги много людей прячется,true
Но потом вспомнил,false
Русский военный корабль иди на...,false
Не зрозуміло-кому це вигідно?!,false
по новостям же пишут,false
Зоомагазин уже месяц попугайчик сидит и никто его не берет,false
"⚡️Вконтакте начал скрывать шокирующий контент. Изображения и видео, которые могут содержать сцены насилия или показаться шокирующими, теперь закрыты специальной заглушкой с предупреждением.",false
"Пусть перестанут уже скулит выпрашивая ""деблокаду"" и умрут достойно. Хотя где слово ""достойно"" и где ""навоз"". Совершенно не сопоставимые понятия. Скрываться за мирняком это так по казацки.",true
"Звернення міського голови Рівного «Очевидно, нічка буде весела і напружена! Не дбайте про сигнали тривоги! Усі терміново в укриття!»",false
❗️Воздушная тревога на западе Украины. С белорусской Лиды пошел на взлет истребитель. Перепичка News | Подписаться,true
"Киевский режим готовит провокацию, аналогичную той, которая была на вокзале в Краматорске — Минобороны России.  В ближайшее время украинские военные планируют нанести удар ""Точкой-У"" по скоплению беженцев на вокзале в населённом пункте Лозовая.",true
Бородоярск и ольховатка что известно родители не выходят на связь с 11 😭если кто-то что-то знает отпишитесь 🙏🏻,false
"Фотографию пакета,куска картона и грязного зеркала 😂",false
які гуманітарні коридори працують,false
"🇷🇺🇮🇷 Мосбиржа начала обмен опытом с Ираном.  Руководство Московской биржи провело первые переговоры с коллегами из Тегерана, рассказал РБК управляющий директор департамента развития бизнеса Московской биржи Кирилл Пестов: «Это скорее первый обмен опытом, потому что, понятно, там достаточно специфический рынок, закрытая экономика, отсутствует конвертация риала».  Иранская сторона заинтересована в работе с российской из-за санкций, добавил он: «Они потенциально забрасывали удочку, а могут ли иранские компании размещать облигации у нас, привлекать капитал. Они как санкционная страна ищут источники капитала, мы в таком же положении».  Несмотря на санкции и изоляцию иранской экономики биржевая торговля в Иране есть, отметил он: «В условиях санкций сорокалетних этот рынок полностью замкнут на себе. Что показал опыт этот: там обращаются более 600 местных компаний. В стране с населением чуть больше 80 млн человек порядка 50 млн граждан Ирана имеют брокерские счета».  @geoprosto",false
